BVR_WaterLevel_m,Arc_Layer,BVR_Mosaic_Volume_m3,BVR_Mosaic_SA_m2
9.7,585.7,6.44E+05,1.71E+05
9.8,585.8,6.62E+05,1.73E+05
9.9,585.9,6.79E+05,1.75E+05
10,586,6.96E+05,1.93E+05
10.1,586.1,7.17E+05,1.97E+05
10.2,586.2,7.37E+05,1.99E+05
10.3,586.3,7.56E+05,2.01E+05
10.4,586.4,7.77E+05,2.04E+05
10.5,586.5,7.97E+05,2.06E+05
10.6,586.6,8.17E+05,2.08E+05
10.7,586.7,8.38E+05,2.10E+05
10.8,586.8,8.59E+05,2.13E+05
10.9,586.9,8.80E+05,2.16E+05
11,587,9.02E+05,2.67E+05
11.1,587.1,9.30E+05,2.69E+05
11.2,587.2,9.57E+05,2.70E+05
11.3,587.3,9.84E+05,2.72E+05
11.4,587.4,1.01E+06,2.73E+05
11.5,587.5,1.04E+06,2.74E+05
11.6,587.6,1.07E+06,2.76E+05
11.7,587.7,1.09E+06,2.77E+05
11.8,587.8,1.12E+06,2.78E+05
11.9,587.9,1.15E+06,2.80E+05
12,588,1.18E+06,2.84E+05
12.1,588.1,1.20E+06,2.85E+05
12.2,588.2,1.23E+06,2.86E+05
12.3,588.3,1.26E+06,2.87E+05
12.4,588.4,1.29E+06,2.88E+05
12.5,588.5,1.32E+06,2.89E+05
12.6,588.6,1.35E+06,2.91E+05
12.7,588.7,1.38E+06,2.92E+05
12.8,588.8,1.40E+06,2.93E+05
12.9,588.9,1.43E+06,2.94E+05
13,589,1.46E+06,3.06E+05
13.1,589.1,1.50E+06,3.08E+05
