Date,BVR_WaterLevel _ft,BVR_WaterLevel_m
5/4/2018,-5.9,11.2
5/11/2018,-6,11.2
5/17/2018,-5.7,11.3
5/24/2018,-4,11.8
5/31/2018,-4,11.8
6/7/2018,-4.6,11.6
6/14/2018,-5,11.5
6/21/2018,-5.5,11.3
6/28/2018,-6,11.2
7/5/2018,-6.3,11.1
7/12/2018,-6.6,11.0
7/26/2018,-6.6,11.0
8/2/2018,NA,NA
8/9/2018,-7,10.9
8/16/2018,-7.3,10.8
8/24/2018,-7.4,10.7
9/7/2018,NA,NA
9/21/2018,-7,10.9
10/5/2018,-6.25,11.1
10/19/2018,-5.8,11.2
11/16/2018,-5.6,11.3
4/8/2019,-5.8,11.2
4/29/2019,-5.4,11.4
5/16/2019,-6,11.2
5/23/2019,-6,11.2
5/30/2019,-6.2,11.1
6/6/2019,-6.2,11.1
6/13/2019,-5.9,11.2
6/20/2019,NA,NA
6/27/2019,-6.2,11.1
7/3/2019,-6.2,11.1
7/11/2019,NA,NA
7/18/2019,-6.5,11.0
7/24/2019,NA,NA
8/1/2019,-6.5,11.0
8/8/2019,-6.1,11.1
8/14/2019,-6.4,11.0
8/22/2019,NA,NA
9/4/2019,-6.8,10.9
9/20/2019,-7.5,10.7
10/4/2019,-8.2,10.5
10/18/2019,-8.8,10.3
10/28/2019,NA,NA
12/6/2019,-9,10.3
