depth,water height,elevation,area
0,13.5,,
0.1,13.4,,
0.33,13.17,,
0.66,12.84,,
1,12.5,,
1.33,12.17,,
1.66,11.84,,
2,11.5,,
2.33,11.17,,
2.66,10.84,,
3,10.5,,
3.33,10.17,,
3.66,9.84,,
4,9.5,,
4.33,9.17,,
4.66,8.84,,
5,8.5,,
5.33,8.17,,
5.66,7.84,,
6,7.5,,
6.33,7.17,,
6.66,6.84,,
7,6.5,,
7.33,6.17,,
7.66,5.84,,
8,5.5,,
8.33,5.17,,
8.66,4.84,,
9,4.5,,
9.33,4.17,,
9.66,3.84,,
10,3.5,,
10.33,3.17,,
10.66,2.84,,
11,2.5,,
11.33,2.17,,
11.66,1.84,,
12,1.5,,
12.33,1.17,,
12.66,0.84,,
13,0.5,,
13.33,0.17,,
13.5,0,,
