DateTime,inflow_factor,RMSE
2020-10-19 16:31:56,1.0696552292778,182534.123907668
2020-10-19 16:31:52,1.0319582075972,98029.224691141
2020-10-19 16:31:49,1.12074445378498,470151.245018064
2020-10-19 16:31:46,1.08139047822552,260279.908660378
2020-10-19 16:31:43,1.05500102064516,101259.471525668
2020-10-19 16:31:40,1.067254756193,168495.546630836
2020-10-19 16:31:36,0.972906951971778,188190.687584636
2020-10-19 16:31:33,0.930458251782936,223643.799131574
2020-10-19 16:31:30,1.02506545185605,106043.468964669
2020-10-19 16:31:27,1.02390882280111,107930.28052323
2020-10-19 16:31:24,0.91761427962317,228888.487122774
2020-10-19 16:31:21,0.923433555192323,225879.749712116
2020-10-19 16:31:17,1.1461613096666,523115.173402216
2020-10-19 16:31:14,1.00157225793671,146297.472802473
2020-10-19 16:31:11,1.01411163135283,126450.770923611
2020-10-19 16:31:08,1.10359885623385,397856.385182106
2020-10-19 16:31:04,1.09633828249163,357976.058031845
2020-10-19 16:31:01,1.06071209255703,128660.044440601
2020-10-19 16:30:58,0.94133224268656,217540.666867038
2020-10-19 16:30:55,1.05067091428884,91970.69346436
2020-10-19 16:30:52,0.855898804581939,248831.22394374
2020-10-19 16:30:49,0.888176390847851,240388.381814241
2020-10-19 16:30:46,0.974891344517677,185041.58687934
2020-10-19 16:30:42,0.8,260827.567808538
2020-10-19 16:30:39,1.09920497608298,376836.688574659
2020-10-19 16:30:36,0.8,260827.567808538
2020-10-19 16:30:33,0.884670658339069,241131.676391534
2020-10-19 16:30:30,0.8,260827.567808538
2020-10-19 16:30:27,0.864393136394528,247063.584285265
2020-10-19 16:30:23,0.929246329084913,224740.917084971
2020-10-19 16:30:20,1.1504623883594,527806.999366636
2020-10-19 16:30:17,1.12215834338111,475637.315955313
2020-10-19 16:30:14,1.03768767328971,93859.3260675254
2020-10-19 16:30:11,0.8,260827.567808538
2020-10-19 16:30:08,0.8,260827.567808538
2020-10-19 16:30:05,1.06273142219636,141135.332996088
